location,condition,Listed_date,Listed_time,drive,fuel,lat,long,odometer,paint color,price,size,title status,transmission,type,year make model,cylinders,year,make,re_model,MODELS
dallas,,01-06-2022,17;28,,gas,35.219501,-97.479711,190115,,9988,,clean,automatic,SUV,2013 FORD EXPLORER,,2013,Ford,FORD EXPLORER,EXPLORER
dallas,,01-06-2022,17;26,4wd,other,32.95296,-96.832689,84401,red,45995,,clean,automatic,pickup,2020 JEEP GLADIATOR,,2020,JEEP,JEEP GLADIATOR,GLADIATOR
dallas,like new,01-06-2022,17;20,4wd,gas,32.9657,-96.8825,48000,,33785,full-size,clean,automatic,,2014 Yukon Denali,8,2014,Yukon,Yukon Denali,Denali
dallas,good,01-06-2022,17;20,fwd,gas,32.939,-97.233,193534,blue,5500,mid-size,clean,automatic,SUV,2007 saab 9-7x,6,2007,saab,saab 9-7x,9-7x
dallas,good,01-06-2022,17;19,fwd,gas,32.81065,-96.632481,152000,white,10900,full-size,clean,automatic,sedan,2014 honda accord,6,2014,honda,honda accord,accord
dallas,excellent,01-06-2022,17;15,rwd,gas,32.977915,-96.592124,72745,,52590,,clean,automatic,SUV,2017 Cadillac Escalade,,2017,Cadillac,Cadillac Escalade,Escalade
dallas,,01-06-2022,17;13,,gas,32.871517,-96.983271,47370,,39500,,clean,automatic,,2019 DODGE GRAND CARAVAN SXT,,2019,DODGE,DODGE GRAND CARAVAN SXT,GRAND CARAVAN SXT
dallas,excellent,01-06-2022,17;13,rwd,gas,33.0993,-98.5832,49000,blue,18500,full-size,clean,automatic,,1990 ford f-150,8,1990,Ford,ford f-150,f-150
dallas,like new,01-06-2022,17;13,rwd,gas,32.7785,-97.0834,108000,black,2500,mid-size,clean,automatic,sedan,2011 lexus es 350,6,2011,lexus,lexus es 350,es 350
dallas,,01-06-2022,17;12,,gas,32.7785,-97.0834,90000,,2700,,clean,automatic,,2013 bmw 325i,,2013,bmw,bmw 325i,325i
dallas,,01-06-2022,17;11,4wd,gas,35.219501,-97.479711,279414,,4988,,clean,automatic,SUV,2009 HONDA PILOT,,2009,HONDA,HONDA PILOT,PILOT
dallas,new,01-06-2022,17;06,4wd,diesel,38.197762,-104.841675,3333333,,89500,,clean,automatic,,2022 gmc sierra 2500hd,,2022,gmc,gmc sierra 2500hd,sierra 2500hd
dallas,excellent,01-06-2022,17;03,fwd,gas,32.7272,-96.5669,170000,white,10950,full-size,clean,automatic,SUV,2008 toyota highlander limited,6,2008,toyota,toyota highlander limited,highlander limited
dallas,,01-06-2022,17;03,4wd,diesel,34.4698,-117.1927,187775,white,34999,,clean,automatic,pickup,2013 Ram 3500 Crew Cab,6,2013,Ram,Ram 3500 Crew Cab,3500 Crew Cab
dallas,excellent,01-06-2022,17;03,,diesel,32.909773,-96.684948,60271,,14950,,clean,automatic,sedan,2011 BMW 335 D,6,2011,BMW,BMW 335 D,335 D
dallas,,01-06-2022,17;02,fwd,gas,32.56105,-97.32079,45460,,17690,,clean,automatic,SUV,2015 Nissan Rogue Select,4,2015,Nissan,Nissan Rogue Select,Rogue Select
dallas,,01-06-2022,17;02,4wd,gas,32.56105,-97.32079,54335,black,31747,,clean,automatic,SUV,2017 Jeep Wrangler,6,2017,Jeep,Jeep Wrangler,Wrangler
dallas,,01-06-2022,17;01,,other,32.95296,-96.832689,30053,,51995,,clean,automatic,other,2018 FORD F-250,,2018,Ford,FORD F-250,F-250
dallas,fair,01-06-2022,17;00,rwd,gas,32.8632,-97.3377,215000,,17000,,clean,manual,hatchback,1991 nissan 240sx s13,4,1991,nissan,nissan 240sx s13,240sx s13
dallas,excellent,01-06-2022,17;00,4wd,diesel,32.6289,-97.1517,,white,36995,full-size,clean,automatic,pickup,2015 Ford Super Duty F-250,8,2015,Ford,Ford Super Duty F-250,Super Duty F-250
dallas,like new,01-06-2022,16;52,rwd,gas,32.7785,-97.0834,108000,black,2500,mid-size,clean,automatic,sedan,2011 lexus es 350,6,2011,lexus,lexus es 350,es 350
dallas,,01-06-2022,16;50,,gas,32.86472,-96.66938,196869,,11988,,clean,automatic,other,2008 CADILLAC ESCALADE,,2008,CADILLAC,CADILLAC ESCALADE,ESCALADE
dallas,,01-06-2022,16;49,,gas,32.7785,-97.0834,67000,,800,,clean,automatic,,2019 all caf,,2019,all,all caf,caf
dallas,excellent,01-06-2022,16;48,4wd,diesel,33.072044,-97.032538,168860,,43995,,clean,automatic,pickup,2018 Dodge Ram 3500,,2018,Dodge,Dodge Ram 3500,Ram 3500
dallas,excellent,01-06-2022,16;48,4wd,diesel,33.072044,-97.032538,186682,black,38995,,clean,manual,pickup,2017 Dodge Ram 2500,,2017,Dodge,Dodge Ram 2500,Ram 2500
dallas,excellent,01-06-2022,16;47,4wd,diesel,33.072044,-97.032538,199610,grey,37995,,clean,automatic,pickup,2015 Dodge Ram 2500,,2015,Dodge,Dodge Ram 2500,Ram 2500
